Provinsi,Garis Kemiskinan - Maret (Rp),Garis Kemiskinan - September (Rp),Jumlah Penduduk Miskin - Maret (ribu) (Ribu),Jumlah Penduduk Miskin - September (ribu) (Ribu),Persentase Penduduk Miskin - Maret,Persentase Penduduk Miskin - September
Aceh,676247,715103,704.69,703.33,12.33,12.22
Sumatera Utara,666546,718220,1140.25,1128.06,7.36,7.24
Sumatera Barat,729806,776517,312.35,312.3,5.35,5.31
Riau,713117,747345,460.96,475.57,6.16,6.3
Jambi,664127,713849,270.94,261.25,7.19,6.89
Sumatera Selatan,581702,609044,919.6,898.24,10.15,9.85
Bengkulu,683820,712003,252.97,250.19,12.08,11.88
Lampung,612451,634062,887.02,860.13,10,9.66
Kepulauan Bangka Belitung,956833,992426,77.71,74.65,5,4.77
Kepulauan Riau,832410,870738,117.28,114.55,4.44,4.26
DKI Jakarta,852768,897768,464.87,439.12,4.28,4.03
Jawa Barat,547752,575499,3654.75,3550.71,7.02,6.78
Jawa Tengah,537812,570870,3366.69,3344.82,9.48,9.39
DI Yogyakarta,626363,649331,425.82,422.79,10.23,10.08
Jawa Timur,558029,585020,3875.88,3804.29,9.5,9.3
Banten,684232,715288,772.78,760.85,5.63,5.51
Bali,607847,642986,173.24,160.09,3.72,3.42
Nusa Tenggara Barat,556846,575856,654.57,637.18,11.78,11.38
Nusa Tenggara Timur,549607,563052,1088.78,1031.69,18.6,17.5
Kalimantan Barat,622882,652220,330.95,322.54,6.16,5.97
Kalimantan Tengah,654066,683664,147.81,141.75,5.19,4.94
Kalimantan Selatan,650675,684567,172.72,168.81,3.84,3.73
Kalimantan Timur,866193,897759,199.71,202.04,5.17,5.19
Kalimantan Utara,884970,933675,42.57,42.45,5.54,5.47
Sulawesi Utara,530304,557310,173.84,172.13,6.71,6.62
Sulawesi Tengah,624854,664691,356.19,345.38,10.92,10.52
Sulawesi Selatan,477966,514958,698.13,685.14,7.6,7.43
Sulawesi Tenggara,488171,519411,304.43,295.31,10.54,10.14
Gorontalo,495576,519640,162.74,155.76,13.24,12.62
Sulawesi Barat,475488,510846,152.31,149.88,10.41,10.18
Maluku,757600,797060,287.76,286.86,15.38,15.25
Maluku Utara,662397,692592,77.27,74.81,5.81,5.59
Papua Barat,831001,868631,106.9,102.4,20.66,19.58
Papua Barat Daya,812630,855657,103.57,102.41,17.95,17.5
Papua,714365,736720,171.38,160.25,19.16,17.82
Papua Selatan,566052,587264,105.53,103.92,19.71,19.26
Papua Tengah,817834,873843,302.31,309.86,28.9,29.45
Papua Pegunungan,1132178,1235328,337.32,308.19,30.03,27.21
Indonesia,609160,641443,23854.56,23359.71,8.47,8.25
